wp1,wp4,wp6,wp7
0.016875,0.0274583333,0.0169166667,0.0052916667
0.0129166667,0.01725,0.01975,0.0084166667
0.1784583333,0.1940416667,0.2050833333,0.1926666667
0.3432083333,0.1610416667,0.0931666667,0.0452916667
0.1294583333,0.0380416667,0.045,0.02525
0.0882083333,0.0224583333,0.03775,0.0241666667
0.2072083333,0.2125,0.1124166667,0.1159166667
0.1129583333,0.1240416667,0.0575416667,0.04
0.0454166667,0.0088333333,0.0525833333,0.0694166667
0.164875,0.282125,0.21375,0.2020416667
0.388625,0.3939583333,0.309125,0.2685
0.362375,0.3301666667,0.20775,0.129375
0.4104583333,0.14425,0.1260833333,0.099
0.2605416667,0.0781666667,0.05925,0.0462916667
0.1447083333,0.2504583333,0.222625,0.2209583333
0.2786666667,0.2582916667,0.1869166667,0.168375
0.072375,0.1348333333,0.11025,0.090625
0.1682083333,0.0565833333,0.0537916667,0.0378333333
0.2020833333,0.1043333333,0.0915416667,0.0873333333
0.0085416667,0.002125,0.0135833333,0.007375
0.0610416667,0.0945,0.09475,0.1389583333
0.1081666667,0.1177916667,0.0920833333,0.1525416667
0.1051666667,0.0375833333,0.068,0.052625
0.0477083333,0.0472916667,0.0497916667,0.0231666667
0.1337083333,0.20675,0.2087916667,0.2420416667
0.1334166667,0.0994583333,0.086125,0.0379166667
0.1679166667,0.1800833333,0.12325,0.0705416667
0.3845416667,0.476875,0.3191666667,0.3135833333
0.1486666667,0.1055416667,0.0844583333,0.1105416667
0.0633333333,0.0060416667,0.0217916667,0
0.1014583333,0.06275,0.0767083333,0.0547083333
0.2172083333,0.3923333333,0.330625,0.2936666667
0.2806666667,0.2855,0.2237083333,0.1894166667
0.3640416667,0.4347916667,0.3925416667,0.3735416667
0.4590833333,0.5868333333,0.568,0.5818333333
0.2707083333,0.2725416667,0.22475,0.1420833333
0.150625,0.03,0.0322916667,0.0031666667
0.13975,0.0338333333,0.0487916667,0.0295
0.1123333333,0.2486666667,0.2597916667,0.3387916667
0.2100833333,0.2509583333,0.2017083333,0.2146666667
0.1614166667,0.0448333333,0.0793333333,0.1547083333
0.0595833333,0.018875,0.0334583333,0.0284166667
0.0502083333,0.0186666667,0.0465833333,0.0389583333
0.0075,0.0004583333,0.0206666667,0.0137083333
0.0122916667,0.02475,0.0387916667,0.00525
0.0841666667,0.1949583333,0.1304166667,0.0937083333
0.06,0.1905833333,0.1645,0.136
0.306,0.3487083333,0.2834583333,0.2914166667
0.349375,0.3985416667,0.3355416667,0.3
0.07225,0.0519166667,0.0535416667,0.0631666667
0.305375,0.4859583333,0.4923333333,0.3745833333
0.4258333333,0.4814583333,0.5537916667,0.53125
0.0780833333,0.0792916667,0.0855,0.0547916667
0.0814583333,0.0755833333,0.109625,0.0905833333
0.0329166667,0.0005,0.0179583333,0.0031666667
0.288375,0.4001666667,0.3497916667,0.3189166667
0.2192083333,0.2157916667,0.2160833333,0.2105
0.0749166667,0.0287916667,0.0782916667,0.1368333333
0.173375,0.17425,0.1776666667,0.2799583333
0.3352083333,0.30725,0.3040833333,0.3820416667
0.2620833333,0.28025,0.472,0.5324583333
0.0254166667,0.0747916667,0.0832083333,0.0663333333
0.009375,0,0.00975,0
0,0.00025,0.0059583333,0
0,0.0011666667,0.0087083333,0
0.0141666667,0.00025,0.0070416667,0
0.0104166667,0.0016666667,0.0115,0.003125
0.0358333333,0.0800833333,0.0975,0.0999583333
0.08375,0.1222916667,0.1145833333,0.1347916667
0.0385416667,0.0414583333,0.0843333333,0.0895416667
0.1033333333,0.1097916667,0.115125,0.1051666667
0.1445833333,0.1754583333,0.1687916667,0.2041666667
0.116875,0.19525,0.1292083333,0.1799583333
0.0613333333,0.0440833333,0.0832916667,0.0747916667
0.186,0.0655416667,0.0580833333,0.037875
0.2377083333,0.1095,0.0569583333,0.0379583333
0.1235833333,0.092125,0.084375,0.0610833333
0.1645,0.1816666667,0.1770416667,0.1557916667
0.0542083333,0.1017083333,0.1145,0.147375
0.30075,0.235375,0.1853333333,0.1790416667
0.076,0.0436666667,0.0855,0.1241666667
0.036875,0.0693333333,0.0734166667,0.056875
0.28175,0.4695,0.38925,0.4682916667
0.2017083333,0.1944583333,0.2055416667,0.2105833333
0.2760416667,0.239625,0.2302083333,0.2472916667
0.07325,0.0905416667,0.0974583333,0.051625
0.1421666667,0.11875,0.1315416667,0.2147916667
0.1929166667,0.1607083333,0.1705,0.2588333333
0.0733333333,0.0411666667,0.0574583333,0.0262916667
0.5431666667,0.629125,0.5833333333,0.6555416667
0.6909583333,0.8588333333,0.8178333333,0.9195
0.377625,0.3330833333,0.3782083333,0.3767083333
0.1220833333,0.0553333333,0.0865833333,0.0685416667
0.27175,0.2656666667,0.3054166667,0.421
0.2724583333,0.25625,0.2697083333,0.3694166667
0.2011666667,0.2219583333,0.008125,0.2820833333
0.4067083333,0.46975,0.0641666667,0.591375
0.1439583333,0.0857083333,0.0898333333,0.1263333333
0.7534583333,0.8834583333,0.7214166667,0.880625
0.255625,0.3955,0.4100833333,0.4335833333
0.0826666667,0.1559583333,0.155125,0.1641666667
0.1525833333,0.162625,0.165,0.1578333333
0.459375,0.5888333333,0.543875,0.61975
0.0805833333,0.0632083333,0.0542916667,0.032625
0.2320416667,0.31425,0.3815416667,0.4061666667
0.1015416667,0.113875,0.1343333333,0.0915833333
0.2662083333,0.2059166667,0.2435833333,0.293625
0.1676666667,0.1693333333,0.1798333333,0.1127083333
0.055,0.048375,0.1207083333,0.1348333333
0.0604166667,0.0242083333,0.0437083333,0.0284583333
0.5035833333,0.5775833333,0.5645833333,0.5734583333
0.2620833333,0.2599583333,0.2489166667,0.24625
0.0170833333,0.0009583333,0.03225,0.0231666667
0.49825,0.5644166667,0.546,0.579875
0.4274583333,0.6761666667,0.60575,0.6543333333
0.3145416667,0.75025,0.8163333333,0.8354583333
0.1260416667,0.3333333333,0.3189583333,0.3409166667
0.0491666667,0.2617083333,0.2714166667,0.3010833333
0.06,0.123875,0.1062916667,0.1494583333
0.1020833333,0.0634583333,0.0684583333,0.0644166667
0.0170833333,0.0175416667,0.039375,0.028375
0.4679583333,0.5602916667,0.555375,0.6524583333
0.796375,0.8585416667,0.792125,0.8510833333
0.2124166667,0.28725,0.2922083333,0.3188333333
0.1277916667,0.1930833333,0.2215,0.1736666667
0.2805416667,0.4630833333,0.466,0.4535416667
0.0279166667,0.0884583333,0.075,0.0769166667
0.2589583333,0.4577916667,0.45125,0.4840833333
0.106875,0.1835,0.209375,0.1831666667
0.6550833333,0.8441666667,0.7684583333,0.8217916667
0.22875,0.1034166667,0.1145416667,0.13475
0.5886666667,0.6554166667,0.604125,0.63875
0.1895833333,0.1359583333,0.2006666667,0.2
0.1647083333,0.06325,0.1183333333,0.1610416667
0.1495,0.128625,0.0821666667,0.1567916667
0.2504166667,0.4562083333,0.3639166667,0.4725416667
0.4085416667,0.504125,0.4363333333,0.5303333333
0.326125,0.3707083333,0.268625,0.238875
0.2114166667,0.22425,0.2577083333,0.1705
0.2197916667,0.194,0.2274583333,0.3199166667
0.324375,0.5610416667,0.54325,0.697625
0.2186666667,0.357625,0.3700416667,0.474625
0.4211666667,0.33225,0.2482916667,0.2473333333
0.1635416667,0.0544166667,0.0482083333,0.0315833333
0.0016666667,0.0007083333,0.00325,0.0010416667
0.175375,0.1494583333,0.1513333333,0.3114166667
0.0572083333,0.0675416667,0.0712916667,0.1042916667
0.1723333333,0.2752916667,0.2955,0.33675
0.3059166667,0.3865416667,0.4457083333,0.450375
0.1352083333,0.248375,0.429375,0.5755416667
0.4255,0.294625,0.291625,0.323
0.06025,0.0444583333,0.0635833333,0.0567916667
0.222875,0.2015833333,0.332125,0.3620416667
0.4730416667,0.61775,0.4137916667,0.6512916667
0.333,0.372,0.3140833333,0.3295
0.4382083333,0.4350833333,0.40675,0.5334583333
0.5065416667,0.5131666667,0.42925,0.6534583333
0.1540833333,0.3737916667,0.3300416667,0.308375
0.3986666667,0.5905,0.632625,0.6419166667
0.1810833333,0.098,0.2350833333,0.228375
0.070875,0.092,0.0975416667,0.1315833333
0.708625,0.7999166667,0.4999583333,0.8741666667
0.7524166667,0.7955,0.5151666667,0.930875
0.875125,0.7879583333,0.65775,0.9287916667
0.5985833333,0.5845833333,0.6195,0.6355416667
0.5975,0.644875,0.62725,0.5965833333
0.0698333333,0.0682916667,0.0985833333,0.0978333333
0.015625,0.22575,0.2429166667,0.206375
0.1406666667,0.6365416667,0.6124583333,0.7270416667
0.0475,0.2275416667,0.220375,0.2127083333
0.0619166667,0.2224166667,0.2575416667,0.4167916667
0.1335833333,0.1835833333,0.181375,0.2747083333
0.0711666667,0.1200833333,0.0953333333,0.0495
0.0609583333,0.0832916667,0.0772916667,0.0200416667
0.087125,0.0559166667,0.0947083333,0.0789583333
0.3432083333,0.0685,0.0732916667,0.0431666667
0.062625,0.1300416667,0.1212083333,0.1389166667
0.341125,0.8135833333,0.7444166667,0.90275
0.4146666667,0.494,0.4962083333,0.4988333333
0.1649583333,0.2724583333,0.2916666667,0.2873333333
0.4057083333,0.4957083333,0.526375,0.5565833333
0.520125,0.5643333333,0.6249583333,0.6006666667
0.2958333333,0.3630833333,0.3502916667,0.30525
0.261125,0.295,0.3168333333,0.2684166667
0.19175,0.2980416667,0.4972083333,0.5209166667
0.5951666667,0.5511666667,0.7795,0.7724166667
0.7498333333,0.6088333333,0.7588333333,0.7249583333
0.5029583333,0.4320416667,0.3564583333,0.2799166667
0.242875,0.039,0.044375,0.0484583333
0.0594166667,0.0415416667,0.0037916667,0.0115416667
0.00125,0.019125,0.0125,0.0168333333
0.06725,0.32175,0.2790833333,0.3020833333
0.115,0.2175,0.24725,0.2083333333
0.4125833333,0.382,0.3392916667,0.3462083333
0.3829166667,0.462875,0.3837083333,0.3672916667
0.1299166667,0.0994166667,0.12275,0.1000416667
0.1932916667,0.5865416667,0.5947916667,0.550375
0.3678333333,0.5209166667,0.537875,0.5147083333
0.2779583333,0.3555833333,0.3218333333,0.3419583333
0.30025,0.41025,0.3184583333,0.2189583333
